community_code,zone_code,zone_name,adjustment_score,description
BJ-001,street_front,临主路首排,-8,直接朝向主路或高速一侧，车辆持续噪音更强。
BJ-001,secondary_street,次临街区,-4,不在首排，但仍会明显感受到道路噪音。
BJ-001,central_inner,小区中央,0,按小区平均位置处理。
BJ-001,quiet_inner,内排安静区,6,更靠小区内部，有前排遮挡，通常更安静。
BJ-001,gate_side,出入口附近,-5,出入口、人车流与停车场会增加体感噪音。
BJ-001,commercial_edge,靠底商/商业,-6,沿街底商、餐饮和生活服务会抬高噪音。
BJ-002,street_front,临主路首排,-8,直接朝向主路或高速一侧，车辆持续噪音更强。
BJ-002,secondary_street,次临街区,-4,不在首排，但仍会明显感受到道路噪音。
BJ-002,central_inner,小区中央,0,按小区平均位置处理。
BJ-002,quiet_inner,内排安静区,6,更靠小区内部，有前排遮挡，通常更安静。
BJ-002,gate_side,出入口附近,-5,出入口、人车流与停车场会增加体感噪音。
BJ-002,commercial_edge,靠底商/商业,-6,沿街底商、餐饮和生活服务会抬高噪音。
BJ-003,street_front,临主路首排,-8,直接朝向主路或高速一侧，车辆持续噪音更强。
BJ-003,secondary_street,次临街区,-4,不在首排，但仍会明显感受到道路噪音。
BJ-003,central_inner,小区中央,0,按小区平均位置处理。
BJ-003,quiet_inner,内排安静区,6,更靠小区内部，有前排遮挡，通常更安静。
BJ-003,gate_side,出入口附近,-5,出入口、人车流与停车场会增加体感噪音。
BJ-003,commercial_edge,靠底商/商业,-6,沿街底商、餐饮和生活服务会抬高噪音。
BJ-004,street_front,临主路首排,-8,直接朝向主路或高速一侧，车辆持续噪音更强。
BJ-004,secondary_street,次临街区,-4,不在首排，但仍会明显感受到道路噪音。
BJ-004,central_inner,小区中央,0,按小区平均位置处理。
BJ-004,quiet_inner,内排安静区,6,更靠小区内部，有前排遮挡，通常更安静。
BJ-004,gate_side,出入口附近,-5,出入口、人车流与停车场会增加体感噪音。
BJ-004,commercial_edge,靠底商/商业,-6,沿街底商、餐饮和生活服务会抬高噪音。
BJ-005,street_front,临主路首排,-8,直接朝向主路或高速一侧，车辆持续噪音更强。
BJ-005,secondary_street,次临街区,-4,不在首排，但仍会明显感受到道路噪音。
BJ-005,central_inner,小区中央,0,按小区平均位置处理。
BJ-005,quiet_inner,内排安静区,6,更靠小区内部，有前排遮挡，通常更安静。
BJ-005,gate_side,出入口附近,-5,出入口、人车流与停车场会增加体感噪音。
BJ-005,commercial_edge,靠底商/商业,-6,沿街底商、餐饮和生活服务会抬高噪音。
BJ-006,street_front,临主路首排,-8,直接朝向主路或高速一侧，车辆持续噪音更强。
BJ-006,secondary_street,次临街区,-4,不在首排，但仍会明显感受到道路噪音。
BJ-006,central_inner,小区中央,0,按小区平均位置处理。
BJ-006,quiet_inner,内排安静区,6,更靠小区内部，有前排遮挡，通常更安静。
BJ-006,gate_side,出入口附近,-5,出入口、人车流与停车场会增加体感噪音。
BJ-006,commercial_edge,靠底商/商业,-6,沿街底商、餐饮和生活服务会抬高噪音。
